slice_axis,slice_index,method,ssim,psnr,mse,mae,rmse,nrmse,pearson,gradient_mse,hfen,diff_percent,issm
axial,126,lanczos,0.5689361691474915,18.306768170064476,0.014768050983548164,0.07599540799856186,0.12152387001551655,0.12152387001551655,0.9126969101087218,0.3731764554977417,0.46461543440818787,7.599540799856186,
axial,127,nearest,0.5351631045341492,17.556239054839466,0.01755400002002716,0.08195623755455017,0.1324915092374872,0.1324915092374872,0.896788972625106,0.4324742555618286,0.5245766639709473,8.195623755455017,
axial,127,bilinear,0.5307171940803528,17.77579605109726,0.016688618808984756,0.08254244178533554,0.12918443717795405,0.12918443717795405,0.9038147101446744,0.42946717143058777,0.5925891995429993,8.254244178533554,
axial,127,bicubic,0.5731269717216492,18.291114559792184,0.014821376651525497,0.07600212842226028,0.12174307640077729,0.12174307640077729,0.9142376714728363,0.3757515251636505,0.4936715364456177,7.600212842226028,
axial,127,lanczos,0.5764486789703369,18.364353706982506,0.01457352563738823,0.07542063295841217,0.12072085833603168,0.12072085833603168,0.9158723404675592,0.36915820837020874,0.4708996117115021,7.542063295841217,
axial,128,nearest,0.5369601249694824,17.626025017202487,0.01727418228983879,0.08133510500192642,0.1314312835280809,0.1314312835280809,0.900400417544937,0.4241202473640442,0.5229645371437073,8.133510500192642,
axial,128,bilinear,0.531065821647644,17.821815814146753,0.016512712463736534,0.08208882808685303,0.12850179945719256,0.12850179945719256,0.9066431601267242,0.4201032817363739,0.5920854806900024,8.208882808685303,
axial,128,bicubic,0.5727994441986084,18.331867218391757,0.014682948589324951,0.07567784935235977,0.12117321729377722,0.12117321729377722,0.9166056931988278,0.3677653670310974,0.49478524923324585,7.567784935235977,
axial,128,lanczos,0.5757814049720764,18.40436530426899,0.014439876191318035,0.0751332938671112,0.12016603593078219,0.12016603593078219,0.9181845358849029,0.36146947741508484,0.4718286097049713,7.513329386711121,
axial,129,nearest,0.5426291823387146,17.659969901682942,0.01713969185948372,0.08055079728364944,0.1309186459580289,0.1309186459580289,0.904969691207216,0.41714945435523987,0.5130881071090698,8.055079728364944,
axial,129,bilinear,0.5389000773429871,17.88390840999144,0.016278304159641266,0.08139840513467789,0.12758645758716428,0.12758645758716428,0.9115624842049694,0.4108791649341583,0.5840572714805603,8.139840513467789,
axial,129,bicubic,0.5815560817718506,18.41719118885313,0.014397294260561466,0.07469009608030319,0.11998872555603492,0.11998872555603492,0.9213999777929055,0.3589140474796295,0.4838476777076721,7.469009608030319,
axial,129,lanczos,0.584449052810669,18.493197386147035,0.014147518202662468,0.07415558397769928,0.11894334030395509,0.11894334030395509,0.9229541451640736,0.35260075330734253,0.45964837074279785,7.415558397769928,
axial,130,nearest,0.5480262637138367,17.74249750252479,0.016817066818475723,0.07991468906402588,0.12968063393766904,0.12968063393766904,0.9056488339679324,0.4035111367702484,0.5113208889961243,7.991468906402588,
axial,130,bilinear,0.5426058769226074,17.940973768230897,0.0160658098757267,0.08074299991130829,0.12675097583737452,0.12675097583737452,0.9116454446581147,0.4027271866798401,0.5835539102554321,8.074299991130829,
axial,130,bicubic,0.5865351557731628,18.48743616808482,0.014166298322379589,0.07396893948316574,0.11902225977681481,0.11902225977681481,0.9217374441715259,0.35019347071647644,0.48118510842323303,7.396893948316574,
axial,130,lanczos,0.591681182384491,18.574083618873914,0.013886462897062302,0.07323967665433884,0.11784083713663232,0.11784083713663232,0.9234780650597598,0.3429008424282074,0.4558255970478058,7.323967665433884,
axial,131,nearest,0.548003613948822,17.69717680307715,0.016993479803204536,0.0804586112499237,0.1303590418927837,0.1303590418927837,0.9062075865825403,0.410408079624176,0.5176158547401428,8.04586112499237,
axial,131,bilinear,0.5432947278022766,17.90569621166027,0.0161968432366848,0.08122500032186508,0.12726681907191992,0.12726681907191992,0.91235784041174,0.4085199534893036,0.5887179374694824,8.122500032186508,
axial,131,bicubic,0.5875793099403381,18.46172504849025,0.014250414445996284,0.07434874773025513,0.11937509977376473,0.11937509977376473,0.9225727422674863,0.3557092845439911,0.48664170503616333,7.434874773025513,
axial,131,lanczos,0.5930346846580505,18.550835773447417,0.013960996642708778,0.07360327243804932,0.11815666144026235,0.11815666144026235,0.9243305797040194,0.34852784872055054,0.46129825711250305,7.360327243804932,
axial,132,nearest,0.5509819984436035,17.786766098750075,0.01664651744067669,0.0795605257153511,0.12902138365665083,0.12902138365665083,0.909641715413976,0.40098559856414795,0.5195732116699219,7.9560525715351105,
axial,132,bilinear,0.5481129288673401,18.004938180769717,0.01583092100918293,0.07991728186607361,0.1258209879518633,0.1258209879518633,0.9157347944870626,0.3943735361099243,0.5884536504745483,7.991728186607361,
axial,132,bicubic,0.5936152935028076,18.559256909117813,0.01393395196646452,0.07305438816547394,0.11804216181714278,0.11804216181714278,0.9254921569626289,0.34354856610298157,0.48889464139938354,7.305438816547394,
axial,132,lanczos,0.5994272232055664,18.64695843433529,0.01365539152175188,0.07229331880807877,0.11685628576055239,0.11685628576055239,0.92716172201447,0.3373444378376007,0.4642104506492615,7.229331880807877,
